Pos,Bib No,Name,Category,Cat Pos,Gender,"CP 1 - KM 47,3","CP 2 - KM 79,7",CP 3 - KM 83,"CP 4 - KM 87,9",Finish,race_name,race_large_logo,race_category,runner_id,race_link
66,189,Edric Hermawan,Open,25,Male,01:58:03,01:49:21,00:15:30,00:33:52,00:08:21,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160953,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
67,370,Irham Mushtahfidz Athallah,Open,26,Male,,03:30:21,00:14:17,00:53:18,00:09:34,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161134,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
68,325,Moh Sahal,Open,27,Male,,03:43:04,00:15:42,00:40:49,00:08:13,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161089,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
69,326,Faristin Sulikhatin,Open,2,Female,,03:39:36,00:16:41,00:40:52,00:10:55,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
70,263,Andika Rizki Lubis,Open,28,Male,,03:20:40,00:14:01,01:05:32,00:08:11,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161027,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
71,330,Salman Ferdian,Master A (40-49),20,Male,,03:36:56,00:15:38,00:48:56,00:09:23,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161094,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
72,119,Luke Brown,Master A (40-49),21,Male,,03:19:28,00:19:14,01:05:28,00:10:12,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160883,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
73,224,Ade Gin,Open,29,Male,,03:18:26,00:17:50,01:08:49,00:09:48,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
74,240,Donny Eka Putra,Open,30,Male,,03:28:26,00:15:07,01:02:58,00:09:01,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161004,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
75,117,Amos Pradana,Open,31,Male,,03:37:25,00:14:29,00:55:13,00:10:12,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160881,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
76,334,Nadzrul Salim,Master A (40-49),22,Male,,03:48:07,00:13:29,00:47:25,00:08:56,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161098,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
77,279,Yunas Bontarya,Open,32,Male,,03:35:40,00:15:55,00:57:30,00:09:54,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161043,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
78,106,Wilyandi Wilyandi,Open,33,Male,,03:47:49,00:14:25,00:46:17,00:10:36,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160870,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
79,115,Edi Novijanto,Master B (50-59),12,Male,,03:22:40,00:14:29,01:09:44,00:12:14,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160879,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
80,103,William William,Open,34,Male,,03:22:05,00:15:05,01:09:43,00:12:16,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160867,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
81,177,Widjoyo Soeroso,Master A (40-49),23,Male,,03:19:32,00:21:14,01:08:19,00:12:43,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160941,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
82,250,Kisman Hj,Master B (50-59),13,Male,,03:31:10,00:19:10,01:02:17,00:10:12,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
83,293,Beny Na,Master A (40-49),24,Male,,03:46:22,00:16:42,00:51:18,00:09:20,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161057,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
84,161,Stephanie Gabriella Wijaya,Open,3,Female,,03:38:18,00:10:15,00:30:16,00:45:15,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160925,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
85,342,Gung Indradjaja,Master B (50-59),14,Male,,03:47:55,00:21:39,00:43:03,00:11:31,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161106,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
86,315,Suharto Cbc,Master A (40-49),25,Male,,03:43:10,00:17:28,00:53:44,00:11:30,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161079,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
87,195,Ana Parendrarti,Open,4,Female,01:58:21,01:51:19,00:14:38,00:54:47,00:08:55,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160959,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
88,105,Yoreen Gunawan,Open,35,Male,,03:47:52,00:19:50,00:51:55,00:08:57,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160869,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
89,295,Agus Yulianto,Master B (50-59),15,Male,02:00:35,02:05:13,00:14:47,00:39:37,00:09:05,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161059,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
90,394,Deny Setiawan,Master A (40-49),26,Male,,03:28:05,00:16:11,01:20:09,00:08:09,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161158,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
91,321,Akhris Syaifudin Najib,Open,36,Male,01:44:01,01:50:05,00:15:40,00:53:37,00:08:33,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161085,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
92,391,Drajat Setiawan,Master A (40-49),27,Male,,03:50:43,00:19:27,00:52:35,00:10:31,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161155,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
93,286,Simon Pasaribu,Master B (50-59),16,Male,,03:37:34,00:15:17,01:11:50,00:10:07,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161050,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
94,323,Fridana Bunawan,Open,37,Male,,03:53:49,00:16:22,00:55:14,00:12:12,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161087,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
95,333,Azlan Ismail,Master A (40-49),28,Male,,03:25:39,00:21:49,01:17:10,00:13:18,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161097,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
96,266,Toto Parmanto,Master C (60+),4,Male,,03:50:38,00:17:11,00:58:59,00:13:07,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161030,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
97,267,Peter Sutanto,Master B (50-59),17,Male,01:57:05,02:09:06,00:16:29,00:46:18,00:11:01,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161031,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
98,322,Kuwat Cbc,Master B (50-59),18,Male,,03:30:04,00:15:03,01:04:51,00:32:36,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161086,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
99,141,Drg Chairunnisa,Master B (50-59),1,Female,01:58:59,02:03:07,00:16:18,00:48:55,00:12:09,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-160905,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
100,273,Rudy Kwok,Master A (40-49),29,Male,,03:51:29,00:19:44,00:59:30,00:13:39,PruRide Race,https://images.racetec.net/results/racelogo/19723/19723_122.png,Gran Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-122-1-161037,http://results.scorenow.co.id/results.aspx?CId=19723&RId=122
