Pos,Race No,Name,Time,Net Time,Gender,Gen Pos,Team,race_name,race_large_logo,race_category,runner_id,race_link
84,805,Carlos,06:39:04,06:34:59,Male,79,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11540,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
85,96,Freenyan Liwang,07:13:02,07:12:37,Male,80,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11108,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
86,807,Selamat Riyanto,07:13:59,07:09:54,Male,81,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11542,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
87,808,Chandra Wira,07:13:59,07:09:56,Male,82,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11543,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
88,182,Andri Irjanto,08:10:44,08:08:30,Male,83,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11191,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
89,405,Yusron,09:05:28,09:05:11,Male,84,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11391,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
90,401,Faisal Syam,11:23:01,11:22:20,Male,85,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11388,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,130,Steven Rothwell,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11138,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,207,Hendro Soebekti Lm,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11215,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,212,Sylvia Novieta,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11219,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,334,Mark Bali,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11327,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,354,Lily Suryani,DNF,DNF,Female,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11343,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,377,Sendy Susanto,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11365,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,381,M Krismanto,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11368,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,403,Yon Achmad Santosa,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11390,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,415,Tri Noviati,DNF,DNF,Female,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11400,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
,721,Retsa Prio Hartono,DNF,DNF,Male,,,GFNY INDONESIA 2017,http://results.scorenow.co.id/Images/Clients/19723.png,MEDIO FONDO,http://results.scorenow.co.id/myresults.aspx?uid=19723-17-2-11497,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17
