Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim split 750m,Swim,T1,"Bike CP 1 - km 3,90","Bike CP 2 - km 9,58","Bike CP 3 - km 15,26","Bike CP 4 - km 20,94","Bike CP 5 - km 26,62","Bike CP 6 - km 32,3",Cycle,T2,"Run CP 1 - km 2,5",Run CP 2 - km 5,Run,race_name,race_large_logo,race_category,runner_id,race_link
76,135,Muhammad Harris Dwinanda,03:37:13,Under 30,7,Male,66,Indonesia,,00:38:17,00:05:40,00:07:45,00:11:29,00:11:58,00:11:37,00:11:53,00:12:00,00:04:56,00:03:53,00:21:33,,03:37:13,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216568,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
77,142,Fahriadi Fahriadi,03:37:45,30-49,39,Male,67,Indonesia,,00:35:31,00:08:41,00:09:51,00:12:03,00:11:46,00:11:46,00:12:24,00:12:24,00:05:15,00:02:48,00:25:48,00:21:27,00:47:54,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216575,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
78,162,Komang Elva Equitari,03:38:01,30-49,5,Female,11,Indonesia,00:21:09,00:22:50,00:06:06,00:08:24,00:12:21,00:10:46,00:12:07,00:11:39,00:11:51,00:04:58,00:05:50,00:23:38,00:20:58,00:45:09,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216595,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
79,189,Ramayanti Ranti,03:39:03,30-49,6,Female,12,Indonesia,00:19:14,00:21:04,00:07:16,00:08:21,00:11:33,00:11:26,00:11:46,00:12:16,,01:59:58,00:06:45,00:25:07,00:20:40,00:46:31,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216622,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
80,198,M Adwi Yudiansyah,03:39:58,30-49,40,Male,68,Indonesia,,,00:47:09,00:08:46,00:11:18,00:11:33,00:11:43,00:11:49,00:12:27,00:04:54,00:05:50,00:23:55,00:21:40,00:48:50,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216631,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
81,130,Elviera Ibrahim,03:40:46,30-49,7,Female,13,Indonesia,,,00:47:26,00:07:54,00:11:07,00:10:50,00:11:27,00:10:54,00:11:19,00:04:43,00:04:25,00:26:05,00:24:02,00:50:28,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216563,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
82,149,TIRFAN PUTRA,03:40:56,30-49,41,Male,69,Indonesia,00:20:07,00:20:40,00:06:29,00:07:53,00:11:07,00:10:50,00:11:27,00:10:54,00:11:19,00:04:44,00:04:25,00:26:05,00:24:01,00:50:38,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216582,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
83,190,Derisa Zahara,03:41:20,30-49,8,Female,14,Indonesia,00:19:57,00:20:19,00:10:54,00:08:35,00:12:18,00:13:16,00:12:48,00:14:05,00:12:31,00:05:45,00:04:09,00:22:41,00:20:28,00:43:25,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216623,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
84,103,Anita Avianti,03:45:44,30-49,9,Female,15,Indonesia,00:22:10,00:23:02,00:05:28,00:08:46,00:12:31,00:11:59,00:12:20,00:16:51,00:12:56,00:06:04,00:03:20,00:23:02,00:21:37,00:45:23,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216536,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
85,181,Sary Hirmayani,03:48:25,30-49,10,Female,16,Indonesia,,00:59:13,00:04:52,00:08:28,00:10:54,00:12:06,00:11:14,00:13:19,00:13:10,00:05:34,00:04:02,00:22:48,00:19:38,00:43:00,Sportel Bali Triathlon,https://images.racetec.net/results/racelogo/19723/19723_158.jpg,Standard Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-158-1-216614,http://results.scorenow.co.id/results.aspx?CId=19723&RId=158
