Pos,Race No,Name,Time,Gender,Gen Pos,Start,Checkpoint 1 - Km 7,"Checkpoint 2 - Km 14,35","Checkpoint 3 - Km 18,5","Checkpoint 4 - Km 20,65",Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
11,3378,Jimmy Hamdani,01:50:04,Male,11,00:00:01,00:36:24,00:34:18,00:22:01,00:13:42,00:03:35,5:10 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197067,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
12,3374,Kurnia Wanto Lu,01:52:45,Male,12,00:00:00,00:35:05,00:35:10,00:23:54,00:14:42,00:03:51,5:17 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197063,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
13,3337,Helda Napitupulu,01:52:56,Female,1,00:00:00,00:36:27,00:35:24,00:23:30,00:14:05,00:03:28,5:18 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197026,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
14,3403,Salam,01:55:40,Male,13,00:00:02,00:38:10,00:35:43,00:24:07,00:13:57,00:03:38,5:25 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197092,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
15,3399,Sachrial,01:56:37,Male,14,00:00:08,00:38:13,00:36:01,00:23:37,00:14:52,00:03:42,5:28 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197088,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
16,3382,Marta Padalling,01:58:08,Female,2,00:00:01,00:38:12,00:36:47,00:24:18,00:14:46,00:04:01,5:32 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197071,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
17,3332,Muhtar M Lamakasau,01:58:57,Male,15,00:00:04,00:35:58,00:36:26,00:26:11,00:16:27,00:03:49,5:35 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197021,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
18,3372,Gustav Husen,01:59:42,Male,16,00:00:08,00:38:48,00:37:52,00:24:19,00:14:44,00:03:48,5:37 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197061,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
19,3352,David Ruslam,02:00:34,Male,17,00:00:01,00:38:28,00:37:12,00:24:31,00:16:15,00:04:04,5:39 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
20,3371,Imran Abdullah,02:01:37,Male,18,00:00:32,00:37:20,00:36:19,00:25:51,00:16:48,00:04:45,5:42 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197060,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
21,3408,Harlan Gosal,02:01:43,Male,19,00:00:01,00:38:12,00:37:07,00:26:27,00:15:47,00:04:05,5:43 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197097,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
22,3356,Doddy Tisna Amijaya Buheli,02:05:24,Male,20,00:00:02,00:37:53,00:37:31,00:27:41,00:17:16,00:04:59,5:53 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
23,3415,Wawan Lesmana,02:07:22,Male,21,00:00:00,00:42:30,00:39:26,00:25:59,00:15:25,00:04:00,5:58 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197104,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
24,3359,Dedriawan Talingkau,02:07:31,Male,22,00:00:01,00:40:30,00:40:13,00:26:23,00:16:18,00:04:04,5:59 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197048,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
25,3406,Sudirman,02:07:32,Male,23,00:00:02,00:40:23,00:39:26,00:26:57,00:16:38,00:04:04,5:59 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197095,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
26,3400,Saeful Andriyanto,02:08:01,Male,24,00:00:08,00:38:47,00:38:23,00:30:53,00:15:43,00:04:05,6:00 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197089,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
27,3367,Hasna,02:10:26,Female,3,00:00:00,00:41:38,00:42:25,00:26:43,00:16:03,00:03:34,6:07 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197056,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
28,3397,Lenny Simbar,02:10:47,Female,4,00:00:02,00:41:41,00:40:41,00:27:56,00:16:29,00:03:55,6:08 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197086,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
29,3338,Zaenal Aziz,02:11:23,Male,25,00:00:05,00:40:04,00:40:14,00:28:57,00:17:23,00:04:38,6:10 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197027,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
30,3347,Arfan Hi Cangga,02:13:51,Male,26,00:00:03,00:40:35,00:40:50,00:29:36,00:18:22,00:04:22,6:17 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197036,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
31,3393,Rahmat Ali,02:16:22,Male,27,00:00:05,00:36:57,00:36:08,00:28:31,00:25:18,00:09:20,6:24 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197082,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
32,3361,Faisal Rauf,02:17:10,Male,28,00:00:14,00:46:07,00:41:26,00:29:21,00:16:17,00:03:42,6:26 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197050,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
33,3388,Anwar Yusuf,02:17:50,Male,29,00:00:04,00:44:23,00:43:19,00:29:03,00:16:38,00:04:21,6:28 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197077,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
34,3376,Iwan,02:19:14,Male,30,00:00:25,00:45:57,00:43:27,00:29:06,00:16:13,00:04:03,6:32 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
35,3410,Sumarno,02:20:14,Male,31,00:00:06,00:41:47,00:43:15,00:31:58,00:19:04,00:04:01,6:35 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197099,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
36,3375,Irwan,02:20:47,Male,32,00:00:01,00:44:53,00:45:08,00:28:56,00:17:09,00:04:39,6:36 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197064,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
37,3384,Mirhan Triandi Doe,02:21:23,Male,33,00:00:18,00:48:57,00:42:27,00:28:10,00:17:05,00:04:23,6:38 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197073,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
38,3330,Hi Ahmad,02:23:59,Male,34,,00:41:36,00:46:26,00:33:34,00:17:53,00:04:28,6:45 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197019,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
39,3413,Jeris Honorris,02:24:05,Male,35,00:00:05,00:46:39,00:44:52,00:30:12,00:17:39,00:04:37,6:46 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197102,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
40,3414,Vera Siajadi,02:24:05,Female,5,00:00:04,00:46:52,00:44:41,00:30:09,00:17:29,00:04:47,6:46 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197103,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
41,3407,Suedarman,02:27:22,Male,36,00:00:10,00:45:51,00:44:19,00:31:19,00:20:15,00:05:25,6:55 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197096,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
42,3418,Yufri,02:27:26,Male,37,00:00:17,00:49:04,00:46:12,00:29:19,00:17:41,00:04:50,6:55 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197107,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
43,3401,Safaruddin,02:27:57,Male,38,00:00:05,00:46:42,00:43:13,00:32:28,00:20:19,00:05:09,6:56 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197090,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
44,3416,Willy Simon Limbowo,02:28:13,Male,39,00:00:13,00:46:08,00:44:47,00:31:48,00:19:52,00:05:22,6:57 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197105,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
45,3334,Oldrin R,02:28:56,Male,40,00:00:13,00:48:46,00:42:25,00:30:45,00:20:35,00:06:10,6:59 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197023,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
46,3365,Hadidjah Labanu,02:29:31,Female,6,,00:45:34,00:46:00,00:33:20,00:19:53,00:04:41,7:01 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197054,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
47,3358,Dwi Amat Suryo Wibowo,02:29:42,Male,41,00:00:07,00:46:11,00:45:42,00:32:55,00:19:55,00:04:49,7:01 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197047,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
48,3390,Praya Arie Indrayana,02:31:02,Male,42,00:00:12,00:48:47,00:46:36,00:31:12,00:18:56,00:05:16,7:05 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197079,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
49,3362,Fikry Agusta,02:31:03,Male,43,00:00:04,00:49:14,00:45:58,00:30:58,00:19:52,00:04:55,7:05 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197051,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
50,3392,Rahmat,02:31:59,Male,44,00:00:08,00:46:31,00:44:40,00:33:46,00:21:24,00:05:27,7:08 min/km,Palu Sport Event Half Marathon,https://images.racetec.net/results/racelogo/19723/19723_151.png,Half Marathon Master,http://results.scorenow.co.id/myresults.aspx?uid=19723-151-2-197081,http://results.scorenow.co.id/results.aspx?CId=19723&RId=151
