Pos,Race No,Name,Time,Category,Cat Pos,Gender,Country,race_name,race_large_logo,race_category,runner_id,race_link
61,2230,Genox bobihu,02:02:26,HM MASTER 45+,7,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11361,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
62,2434,RIZAL TANDIAWAN,02:02:56,HM MASTER 45+,8,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11564,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
63,2221,Marselino Romy Dharmaputra Datu,02:03:17,HM MASTER 45+,9,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11352,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
64,2102,Andi Mastur,02:03:38,HM National,42,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11233,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
65,2322,Hamzah Haruna,02:04:07,HM National,43,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11453,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
66,2318,Nurny zatriawanty wello,02:04:51,HM National,3,Female,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11449,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
67,2422,SUFRI,02:04:51,HM MASTER 45+,10,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11553,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
68,2158,Glaudia larissa,02:04:52,HM National,4,Female,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11289,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
69,2286,Taufiq M Bakri,02:05:06,HM National,44,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11417,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
70,2198,Capt Rajuddin M Mar,02:05:24,HM National,45,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11329,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
71,2078,Muhammad Ukasya,02:05:28,HM National,46,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11209,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
72,2136,Soraya,02:05:33,HM MASTER 45+,2,Female,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11267,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
73,2167,Khalid Abdul Rahman,02:05:44,HM National,47,Male,Indonesia,Run Makassar Half Marathon 2019,https://images.racetec.net/results/racelogo/19723/19723_3001.jpg,Half Marathon National,http://results.scorenow.co.id/myresults.aspx?uid=19723-3001-2-11298,http://results.scorenow.co.id/results.aspx?CId=19723&RId=3001
