Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,Country,Swim,Cycle,Run,race_name,race_large_logo,race_category,runner_id,race_link
191,O370,AGUS SANTOSA,03:05:14,O (Men 38-43),35,Male,141,Indonesia,00:40:00,01:21:08,00:51:07,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39043,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
192,T501,ERLIN PURWATI,03:05:49,T (Women 50-100),9,Female,51,Indonesia,00:30:38,01:24:36,00:59:01,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39174,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
193,R488,SHINTA DEWANTI,03:05:52,R (Women 44-49),13,Female,52,Indonesia,00:36:04,01:23:35,00:54:28,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39161,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
194,L439,FEBRI FAHMAWATI,03:06:47,L (Women 16-31),9,Female,53,Indonesia,00:35:32,01:16:34,00:58:43,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39112,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
195,L440,AMELIA CALLISTA SUTANTO,03:06:47,L (Women 16-31),10,Female,54,Indonesia,00:30:22,01:24:36,00:58:46,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39113,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
196,O358,OKI PANCORO,03:07:23,O (Men 38-43),36,Male,142,Indonesia,00:25:02,01:54:13,00:34:23,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39031,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
197,Q412,PULUH RIANTO,03:08:07,Q (Men 44-49),29,Male,143,Indonesia,00:32:39,01:17:48,01:01:29,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39085,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
198,M315,FAUZAN DJUNAIDI,03:09:38,M (Men 32-37),33,Male,144,Indonesia,00:37:05,01:30:23,00:50:22,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-38988,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
199,R490,TAYA FIRDAUSI,03:10:37,R (Women 44-49),14,Female,55,Indonesia,00:25:22,01:30:24,01:01:46,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39163,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
200,L443,NAILA IZZATI,03:13:50,L (Women 16-31),11,Female,56,Indonesia,00:27:00,01:46:50,00:46:55,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/racelogo/19723/19723_11.jpg,Sprint Distance,http://results.scorenow.co.id/myresults.aspx?uid=19723-11-3-39116,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11
