Pos,Bib No,Name,Net Time,Category,Net Cat Pos,Second Cat,Gender,Country,"CP1 - KM 39,56","CP2 - KM 62,5",Finish Split Time,race_name,race_large_logo,race_category,runner_id,race_link
129,1034,Aldi Kartohadiprodjo,03:37:59,M 40-44,23,,Male,Indonesia,01:36:15,01:08:38,00:53:05,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158451,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
130,1088,Ayulia Ayulia,03:38:04,W 50-54,6,,Female,Indonesia,01:26:08,01:22:30,00:49:25,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158505,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
131,1035,Myriam Ayu Paramita,03:38:05,W 40-44,10,,Female,Indonesia,01:36:24,01:08:43,00:52:57,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158452,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
132,1128,Meilan Lee,03:38:54,W 35-39,14,,Female,Indonesia,01:26:14,01:22:23,00:50:16,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158545,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
133,1130,Udi Mustika,03:38:55,M 18-34,20,,Male,Indonesia,01:26:13,01:22:23,00:50:18,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158547,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
134,1076,Vidya Listyana Ayuningtyas,03:40:18,W 35-39,15,,Female,Indonesia,01:36:20,01:06:00,00:57:57,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158493,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
135,1091,Vika Tania,03:40:48,W 35-39,16,,Female,Indonesia,01:36:22,01:06:34,00:57:50,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158508,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
136,1090,Kemal Achmad,03:40:48,M 40-44,24,,Male,Indonesia,01:36:22,01:06:35,00:57:51,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158507,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
137,1015,Muhamad Priangga,03:41:51,M 35-39,15,,Male,Indonesia,01:26:33,01:16:35,00:58:41,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158432,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
138,1155,Rhegina Octavia,03:47:41,W 18-34,9,,Female,Indonesia,01:30:10,01:21:24,00:56:05,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158572,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
139,600,Adam Sautin,03:56:51,M 45-49,19,,Male,Indonesia,01:33:17,01:20:06,01:03:26,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158069,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
140,599,Gunawan Ming,03:56:53,M 40-44,25,,Male,Indonesia,01:33:23,01:20:05,01:03:24,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158068,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
141,590,Tarto Firmansyah Fu,03:57:00,M 35-39,16,,Male,Indonesia,01:33:25,01:20:05,01:03:28,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158059,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
142,928,Mochamad Irvansyah,04:30:48,M 45-49,20,,Male,Indonesia,01:19:48,01:50:25,01:20:34,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158396,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
143,929,Eka Fitriany Kasimin,04:30:52,W 40-44,11,,Female,Indonesia,01:19:51,01:50:25,01:20:35,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158397,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
144,1010,Rayhan Wijayanto,04:34:26,M 18-34,21,,Male,Indonesia,01:39:13,01:24:40,01:30:32,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158427,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
145,718,Ismed M Noor,04:37:16,,,,Male,Indonesia,01:15:28,02:27:55,00:53:51,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158187,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
,1133,R Slamet Santoso,DNF,M 50-54,,,Male,Indonesia,01:18:27,00:59:32,,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158550,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
,1139,Kak Bagas,DNF,M 50-54,,,Male,Indonesia,01:35:51,00:46:07,,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158556,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
,1143,Bagas Kingkong,DNF,M 50-54,,,Male,Indonesia,01:22:29,00:59:26,,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158560,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
,1145,Purba Purba,DNF,M 50-54,,,Male,Indonesia,01:18:25,00:59:32,,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158562,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
,1166,Imam Suhadi,DNF,M 50-54,,,Male,Indonesia,01:15:36,,,IL FESTINO,https://images.racetec.net/results/racelogo/19723/19723_119.jpg,Medio Fondo,http://results.scorenow.co.id/myresults.aspx?uid=19723-119-2-158583,http://results.scorenow.co.id/results.aspx?CId=19723&RId=119
