Pos,Bib No,Name,Time,Category,Cat Pos,Gender,Gen Pos,CP 1 - KM 4,Pace,CP 2 - KM 8,Pace,Finish,Pace,race_name,race_large_logo,race_category,runner_id,race_link
784,M4873,ARDI ARI,01:32:16.507,NATIONAL,561,Male,573,00:35:22.333,8:54 min/km,00:36:32.963,9:01 min/km,00:20:07.213,9:13 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151738,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
785,M4024,MUHAMAD GUMILANG,01:32:24.017,NATIONAL,562,Male,574,00:35:23.173,9:12 min/km,00:34:58.223,8:58 min/km,00:20:36.333,9:14 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150889,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
786,M4821,WIDIYANTO WIBOWO,01:32:27.000,NATIONAL,563,Male,575,00:36:08.500,9:33 min/km,00:34:28.993,9:05 min/km,00:19:43.557,9:14 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151686,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
787,M4053,RIFALDI ADI SAPUTRA,01:32:31.660,NATIONAL,564,Male,576,00:33:17.690,8:34 min/km,00:37:21.810,8:57 min/km,00:20:53.037,9:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150918,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
788,M4146,YULI INDRAWAN,01:32:31.907,NATIONAL,565,Male,577,00:38:06.553,10:07 min/km,00:34:18.880,9:21 min/km,00:17:43.040,9:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151011,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
789,P4592,RATRI PARAMITA,01:32:32.347,NATIONAL,189,Female,199,00:34:38.903,9:08 min/km,00:37:31.947,9:15 min/km,00:18:26.027,9:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151457,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
790,M4903,WIGUTOMO SIDI,01:32:33.563,NATIONAL,566,Male,578,00:38:04.547,10:07 min/km,00:34:28.037,9:22 min/km,00:17:35.387,9:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151768,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
791,P4464,KHUSNATUL NURLAELA,01:32:37.673,NATIONAL,190,Female,200,00:35:55.690,9:21 min/km,00:35:38.303,9:08 min/km,00:19:33.573,9:15 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151329,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
792,M4299,KRISTIAWAN KRISTIAWAN,01:32:46.907,NATIONAL,567,Male,579,00:33:55.367,8:48 min/km,00:37:15.207,9:03 min/km,00:20:18.973,9:16 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151164,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
793,P4757,MARIZA WIJAYA,01:32:54.110,NATIONAL,191,Female,201,00:37:16.783,9:53 min/km,00:34:48.840,9:17 min/km,00:18:32.907,9:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151622,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
794,M4106,RICKY FAJAR HENDRA PRASETYA,01:32:54.333,NATIONAL,568,Male,580,00:37:17.507,9:53 min/km,00:34:40.183,9:16 min/km,00:18:41.660,9:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150971,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
795,P5088,CITRA LISTYA RINI,01:32:56.177,NATIONAL,192,Female,202,00:35:28.513,8:52 min/km,00:38:22.333,9:14 min/km,00:19:02.827,9:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151953,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
796,P4090,AMALIA ROSANTI,01:32:57.013,NATIONAL,193,Female,203,00:35:49.413,9:08 min/km,00:35:39.893,9:01 min/km,00:20:41.493,9:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150955,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
797,M4023,SUDADI MITRODIHARDJO,01:32:58.043,NATIONAL,569,Male,581,00:36:49.107,9:30 min/km,00:35:16.653,9:09 min/km,00:19:41.193,9:17 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150888,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
798,P4234,SYAKURA FAIZA PRAJNA,01:33:00.993,NATIONAL,194,Female,204,00:36:44.093,9:30 min/km,00:35:16.553,9:09 min/km,00:19:43.527,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-151099,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
799,M4091,QOSIM MARZUKI,01:33:02.033,NATIONAL,570,Male,582,00:33:01.100,8:27 min/km,00:37:11.057,8:52 min/km,00:22:01.810,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150956,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
800,P4108,FITRIA FITARANI,01:33:02.373,NATIONAL,195,Female,205,00:33:00.113,8:27 min/km,00:37:07.853,8:52 min/km,00:22:05.423,9:18 min/km,Mandiri Jogja Marathon 2022,https://images.racetec.net/results/racelogo/19723/19723_117.png,10K,http://results.scorenow.co.id/myresults.aspx?uid=19723-117-4-150973,http://results.scorenow.co.id/results.aspx?CId=19723&RId=117
