Pos,Race No,Name,Laps,Dist Done,Category,Cat Pos,Gender,Gen Pos,race_name,race_large_logo,race_category,runner_id,race_link
11,106,FERIS YULIANTO,114,81.966,OPEN,7,Male,8,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136014,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
12,114,PITOYO,114,81.966,OPEN,8,Male,9,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136022,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
13,118,SOPIYAN SOPIYAN,112,80.528,OPEN,9,Male,10,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136026,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
14,409,POLNIWATI SALIM,110,79.090,SENIOR,1,Female,4,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136064,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
15,212,SURYADI,108,77.652,SENIOR,2,Male,11,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136042,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
16,116,RICKY KURNIAWAN,107,76.933,OPEN,10,Male,12,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136024,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
17,204,ERRY PERMANA,105,75.495,SENIOR,3,Male,13,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136034,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
18,307,MEY LIE,103,74.054,OPEN,4,Female,5,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136050,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
19,101,ABID NAUFAL,103,74.054,OPEN,11,Male,14,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136009,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
20,208,IBNU RIZAL,99,71.181,SENIOR,4,Male,15,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136038,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
21,111,KURNIADI,97,69.743,OPEN,12,Male,16,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136019,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
22,109,JULVYANNO NANDA,97,69.743,OPEN,13,Male,17,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136017,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
23,201,AHMAD TARWI,96,69.024,SENIOR,5,Male,18,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136031,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
24,213,TITUS YUWONO KS,95,68.305,SENIOR,6,Male,19,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136043,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
25,210,RUDY JOELIJANTO,93,66.867,SENIOR,7,Male,20,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136040,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
26,309,PAMELIA PAMELIA,93,66.867,OPEN,5,Female,6,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136052,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
27,203,BUDI RAHAYU,91,65.429,SENIOR,8,Male,21,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136033,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
28,119,SUJARWADI,91,65.429,OPEN,14,Male,22,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136027,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
29,304,IRA RASYID REID,91,65.429,OPEN,6,Female,7,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136047,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
30,404,FEMMY HAMENDA,91,65.429,SENIOR,2,Female,8,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136059,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
31,401,CAROLINE SUNARKO,91,65.429,SENIOR,3,Female,9,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136056,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
32,205,HARMADA HUTAJULU,90,64.710,SENIOR,9,Male,23,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136035,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
33,211,RULLY CHARLES,88,63.272,SENIOR,10,Male,24,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136041,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
34,312,YUSTICIA RAKHMAWATI,88,63.272,OPEN,7,Female,10,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136055,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
35,105,ARIFIN SUTASLI,88,63.272,OPEN,15,Male,25,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136013,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
36,407,MIRNA NIZIR,87,62.553,SENIOR,4,Female,11,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136062,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
37,122,DAFFA MIFTAHURROHMAN ROSYADI,84,60.396,OPEN,16,Male,26,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136030,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
38,406,MENI SUSANTI,84,60.396,SENIOR,5,Female,12,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136061,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
39,410,YULIANTI,83,59.677,SENIOR,6,Female,13,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136065,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
40,308,NOVI ARIYANI,80,57.520,OPEN,8,Female,14,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136051,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
41,103,ALI SUSANTO,78,56.082,OPEN,17,Male,27,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136011,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
42,302,CAHYASTRI SISCA,78,56.082,OPEN,9,Female,15,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136045,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
43,305,LAURA SILVIANA,77,55.363,OPEN,10,Female,16,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136048,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
44,405,LINNY RN,75,53.925,SENIOR,7,Female,17,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136060,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
45,403,FARCHATUL KIFYATI,75,53.925,SENIOR,8,Female,18,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136058,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
46,311,SARA TUNAS,74,53.206,OPEN,11,Female,19,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136054,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
47,107,HANDIWA THARIQ,74,53.206,OPEN,18,Male,28,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136015,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
48,117,RUDYANTO,72,51.768,OPEN,19,Male,29,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136025,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
49,402,EVA SOENTORO,71,51.049,SENIOR,9,Female,20,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136057,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
50,408,PATRICIA LINA,70,50.330,SENIOR,10,Female,21,Westlake Ultra24hours,http://results.scorenow.co.id/Images/Clients/19723.png,12 hours,http://results.scorenow.co.id/myresults.aspx?uid=19723-104-2-136063,http://results.scorenow.co.id/results.aspx?CId=19723&RId=104
